feature,importance
fp_394,0.0
fp_250,0.0
fp_1006,0.0
fp_5,0.0
fp_320,0.0
fp_251,0.0
fp_388,0.0
fp_386,0.0
fp_385,0.0
fp_384,0.0
fp_383,0.0
fp_382,0.0
fp_254,0.0
fp_380,0.0
fp_377,0.0
fp_257,0.0
fp_262,0.0
fp_263,0.0
fp_477,0.0
fp_324,0.0
fp_505,0.0
fp_502,0.0
fp_559,0.0
fp_962,0.0
fp_976,0.0
fp_530,0.0
fp_563,0.0
fp_500,0.0
fp_528,0.0
fp_26,0.0
fp_182,0.0
fp_184,0.0
fp_972,0.0
fp_965,0.0
fp_973,0.0
fp_562,0.0
fp_517,0.0
fp_503,0.0
fp_307,0.0
fp_560,0.0
fp_308,0.0
fp_561,0.0
fp_196,0.0
fp_174,0.0
fp_195,0.0
fp_309,0.0
fp_192,0.0
fp_513,0.0
fp_514,0.0
fp_190,0.0
fp_179,0.0
fp_496,0.0
fp_536,0.0
fp_550,0.0
fp_546,0.0
fp_553,0.0
fp_310,0.0
fp_206,0.0
fp_484,0.0
fp_485,0.0
fp_966,0.0
fp_24,0.0
fp_544,0.0
fp_169,0.0
fp_566,0.0
fp_554,0.0
fp_542,0.0
fp_970,0.0
fp_204,0.0
fp_963,0.0
fp_177,0.0
fp_538,0.0
fp_164,0.0
fp_491,0.0
fp_171,0.0
fp_201,0.0
fp_306,0.0
fp_199,0.0
fp_166,0.0
fp_977,0.0
fp_178,0.0
fp_189,0.0
fp_220,-1.0710354914067466e-07
fp_776,-3.8744743354376016e-07
fp_652,-5.732110109901711e-07
fp_1013,-7.153288687685352e-07
fp_805,-7.402171121976645e-07
fp_730,-1.021409550198508e-06
fp_888,-1.1423303228156694e-06
fp_612,-1.304451023161531e-06
fp_194,-1.803763349202588e-06
fp_471,-1.8298343910094772e-06
fp_113,-1.918271077983036e-06
fp_211,-2.0829148170327847e-06
fp_490,-2.208791966255378e-06
fp_990,-2.4668088675072752e-06
fp_603,-2.6669380203496e-06
fp_775,-2.7896845664251066e-06
fp_353,-2.9185521461435235e-06
fp_422,-2.948632291777109e-06
