idx,y_pred,y_true,residual
468,6.112737,6.278754,-0.166016
469,6.279741,6.380211,-0.100470
470,6.356023,5.444669,0.911354
471,6.464125,6.436957,0.027168
472,6.380309,6.063146,0.317163
473,6.506452,6.442480,0.063972
474,6.651031,6.645324,0.005707
475,6.266768,5.373500,0.893267
476,5.988806,6.477121,-0.488315
477,5.439671,5.283301,0.156370
479,6.040119,6.579784,-0.539664
480,5.892011,5.845098,0.046913
481,5.275216,5.627980,-0.352764
482,5.863231,6.146128,-0.282897
483,6.123309,6.528737,-0.405428
484,6.032837,6.322219,-0.289382
486,6.017787,6.602060,-0.584273
487,6.117210,5.900312,0.216898
488,5.636576,6.108227,-0.471650
489,6.004098,6.385606,-0.381508
491,5.684848,6.271842,-0.586993
492,6.188469,6.401573,-0.213104
493,4.977186,3.724276,1.252910
494,5.225170,6.176091,-0.950921
495,4.560680,6.176091,-1.615412
496,6.504509,6.301030,0.203479
497,6.045888,5.046885,0.999003
498,6.230748,6.068186,0.162562
499,6.169043,6.181844,-0.012801
500,6.194802,6.322219,-0.127417
501,6.160729,6.855525,-0.694797
502,5.307961,6.342423,-1.034462
503,6.445507,6.447158,-0.001651
504,6.495318,6.491362,0.003957
505,5.937567,6.322219,-0.384652
506,6.428258,7.000000,-0.571742
507,6.276681,6.357935,-0.081254
508,6.519983,6.309758,0.210225
509,6.114162,5.751510,0.362652
510,5.252042,6.290035,-1.037993
511,6.357447,6.301030,0.056417
512,6.693150,6.073352,0.619798
513,6.381733,6.057099,0.324634
515,6.268350,6.301030,-0.032680
516,6.922216,6.477555,0.444661
517,5.441254,5.995635,-0.554381
519,5.385796,6.089905,-0.704109
520,5.688175,5.043755,0.644419
521,5.414578,6.394452,-0.979874
522,3.966295,3.397940,0.568355
523,5.750436,6.491362,-0.740925
524,5.859889,5.078094,0.781794
525,5.313112,5.120574,0.192538
526,5.170339,5.548758,-0.378419
527,5.511986,5.752048,-0.240062
528,5.121391,5.698970,-0.577579
529,5.258704,5.008600,0.250104
530,5.535845,6.000000,-0.464155
531,5.313159,4.534026,0.779132
532,5.481800,6.164353,-0.682553
533,6.557167,6.552668,0.004499
535,6.129773,6.079181,0.050592
536,6.550683,6.908485,-0.357802
537,7.034021,6.913284,0.120737
539,6.449284,6.657056,-0.207772
540,5.653604,4.615097,1.038506
541,5.891133,6.962369,-1.071236
542,6.009998,6.579784,-0.569786
543,6.000427,5.959041,0.041386
544,5.686648,6.079181,-0.392533
545,6.208112,6.857332,-0.649220
546,5.853493,7.012837,-1.159344
547,5.261929,5.950365,-0.688436
548,7.113099,7.727541,-0.614442
549,6.729858,7.176091,-0.446233
550,6.729699,5.939759,0.789941
551,7.225085,6.592177,0.632908
553,4.952980,6.200303,-1.247323
555,7.510801,6.826075,0.684727
556,6.223626,6.919078,-0.695452
557,6.468286,5.875061,0.593225
558,6.214669,5.176091,1.038578
559,6.488554,6.644044,-0.155490
560,2.995339,2.778151,0.217188
561,5.268072,6.079181,-0.811110
562,2.369129,3.079181,-0.710052
563,5.788367,6.283301,-0.494934
564,6.279587,6.287802,-0.008215
565,6.379823,5.536937,0.842886
568,4.923334,5.000000,-0.076666
569,6.100362,6.531479,-0.431117
570,5.588874,6.033424,-0.444549
571,4.348615,3.662758,0.685857
572,5.964169,6.260548,-0.296379
573,5.688539,5.301030,0.387509
574,6.023940,6.176091,-0.152151
575,5.113501,5.499687,-0.386187
576,5.784306,5.295127,0.489179
577,5.404465,5.301030,0.103435
578,3.802677,3.911690,-0.109013
579,5.894911,6.324282,-0.429371
580,5.625574,5.720292,-0.094718
581,6.129905,6.367048,-0.237143
582,6.206187,7.204120,-0.997933
585,6.059894,6.278982,-0.219088
586,5.046949,6.178977,-1.132028
587,3.063370,4.329194,-1.265824
588,5.169831,6.002166,-0.832335
590,4.793954,5.000000,-0.206046
591,5.109014,5.000000,0.109014
592,5.536756,4.698970,0.837786
593,5.261082,5.294466,-0.033385
594,5.913253,5.477121,0.436132
595,6.388309,6.126456,0.261853
597,5.818539,4.028164,1.790374
598,6.273669,7.079181,-0.805513
599,6.019977,6.018651,0.001327
600,6.338691,7.049218,-0.710527
601,5.649300,6.556303,-0.907002
602,6.186956,7.176091,-0.989135
603,5.590154,5.615540,-0.025386
604,6.546059,7.017451,-0.471391
605,4.382468,3.838849,0.543619
606,5.681745,6.278754,-0.597009
607,5.976532,7.079181,-1.102649
608,5.713656,5.181844,0.531813
609,5.089605,5.181844,-0.092239
611,3.452692,3.403121,0.049571
612,5.423701,4.991226,0.432475
613,5.814747,6.342423,-0.527676
614,5.223933,5.447158,-0.223225
615,6.355139,6.741152,-0.386013
616,5.084794,6.350248,-1.265454
617,6.345409,6.361728,-0.016319
618,5.656018,4.176091,1.479927
620,6.347234,6.732394,-0.385160
621,6.335363,4.130334,2.205029
622,6.136427,6.290035,-0.153608
623,6.225467,6.204120,0.021347
624,6.066566,6.954243,-0.887677
625,6.825025,7.079181,-0.254156
626,5.323108,6.698970,-1.375862
627,6.351186,6.462398,-0.111212
628,6.400997,6.698970,-0.297973
629,5.925506,6.334454,-0.408948
630,5.788316,5.045323,0.742993
631,6.224167,6.544068,-0.319901
632,5.986320,6.602060,-0.615740
633,6.915949,7.589950,-0.674000
634,6.267962,6.942504,-0.674542
635,6.014271,6.435692,-0.421421
636,6.332985,7.079181,-0.746196
637,6.342239,6.838723,-0.496484
638,6.332668,6.365488,-0.032820
639,6.332509,4.880814,1.451696
